epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1078,2.00154,2.93058,1.82989,0.01108,1,0.44178,0.17836,1.36545,2.99899,1.37002,0.00023338,0.00023338,0.00023338
2,106.689,1.72752,2.05719,1.52253,0.01119,1,0.518,0.24035,1.35593,2.736,1.22561,0.000473858,0.000473858,0.000473858
3,159.106,1.66021,1.88324,1.49488,0.87456,0.31105,0.5851,0.21382,1.71622,2.5454,1.3849,0.000704434,0.000704434,0.000704434
4,211.595,1.64065,1.73277,1.51873,0.4718,0.41869,0.40155,0.15043,1.92088,2.5107,1.69322,0.000925108,0.000925108,0.000925108
5,264.803,1.61786,1.69385,1.52233,0.48192,0.72083,0.52769,0.24055,1.71968,2.12633,1.46606,0.00113588,0.00113588,0.00113588
6,317.379,1.61913,1.66666,1.53869,0.42514,0.64432,0.56424,0.24831,1.72523,1.91766,1.53615,0.00133675,0.00133675,0.00133675
7,369.579,1.65624,1.60279,1.54934,0.66818,0.70703,0.62285,0.28732,1.65544,1.81248,1.54558,0.00146896,0.00146896,0.00146896
8,421.869,1.62186,1.52251,1.54721,0.73364,0.71961,0.78497,0.36137,1.71873,1.56794,1.57326,0.00143595,0.00143595,0.00143595
9,476.664,1.65233,1.53144,1.56202,0.86358,0.79947,0.8794,0.5028,1.52939,1.36157,1.51831,0.00140295,0.00140295,0.00140295
10,529.813,1.62255,1.45402,1.50373,0.84229,0.76667,0.88724,0.44747,1.61705,1.39164,1.55779,0.00136994,0.00136994,0.00136994
11,582.658,1.58646,1.44805,1.50098,0.78593,0.73333,0.85649,0.42266,1.69561,1.41083,1.70119,0.00133693,0.00133693,0.00133693
12,636.706,1.55942,1.34623,1.47638,0.92399,0.722,0.89855,0.4342,1.73785,1.4173,1.65664,0.00130393,0.00130393,0.00130393
13,691.09,1.56956,1.33483,1.49624,0.85449,0.75833,0.85445,0.45839,1.50871,1.31356,1.51398,0.00127092,0.00127092,0.00127092
14,743.128,1.55043,1.35515,1.49069,0.77793,0.89583,0.872,0.48412,1.53271,1.14301,1.56865,0.00123791,0.00123791,0.00123791
15,795.004,1.53614,1.30461,1.47911,0.76154,0.875,0.85483,0.44814,1.54858,1.3037,1.54669,0.00120491,0.00120491,0.00120491
